"Ancestral Tattoo of Bloodlines","血脉先祖文身"
"Tattoo of the Hinekora Warrior","辛格拉战士的文身"
"Tattoo of the Kitava Blood Drinker","奇塔弗汲血者的文身"
"Tattoo of the Kitava Heart Eater","奇塔弗吞心者的文身"
"Tattoo of the Kitava Makanga","奇塔弗马坎加的文身"
"Tattoo of the Kitava Rebel","奇塔弗义军的文身"
"Tattoo of the Kitava Shaman","奇塔弗萨满的文身"
"Tattoo of the Kitava Warrior","奇塔弗战士的文身"
"Tattoo of the Ngamahu Firewalker","努葛玛呼烈焰行者的文身"
"Tattoo of the Ngamahu Makanga","努葛玛呼马坎加的文身"
"Tattoo of the Ngamahu Shaman","努葛玛呼萨满的文身"
"Tattoo of the Ngamahu Warmonger","努葛玛呼好战者的文身"
"Tattoo of the Ngamahu Warrior","努葛玛呼战士的文身"
"Tattoo of the Ngamahu Woodcarver","努葛玛呼木匠的文身"
"Tattoo of the Ramako Archer","雷默科弓手的文身"
"Tattoo of the Ramako Fleetfoot","雷默科捷足者的文身"
"Tattoo of the Ramako Makanga","雷默科马坎加的文身"
"Tattoo of the Ramako Scout","雷默科斥候的文身"
"Tattoo of the Ramako Shaman","雷默科萨满的文身"
"Tattoo of the Ramako Sniper","雷默科狙击手的文身"
"Tattoo of the Rongokurai Brute","隆戈库莱野蛮人的文身"
"Tattoo of the Rongokurai Goliath","隆戈库莱巨人的文身"
"Tattoo of the Rongokurai Guard","隆戈库莱守卫的文身"
"Tattoo of the Rongokurai Makanga","隆戈库莱马坎加的文身"
"Tattoo of the Rongokurai Turtle","隆戈库莱巨龟的文身"
"Tattoo of the Rongokurai Warrior","隆戈库莱战士的文身"
"Tattoo of the Tasalio Bladedancer","塔萨里奥剑舞者的文身"
"Tattoo of the Tasalio Makanga","塔萨里奥马坎加的文身"
"Tattoo of the Tasalio Scout","塔萨里奥斥候的文身"
"Tattoo of the Tasalio Shaman","塔萨里奥萨满的文身"
"Tattoo of the Tasalio Tideshifter","塔萨里奥潮汐变换者的文身"
"Tattoo of the Tasalio Warrior","塔萨里奥战士的文身"
"Tattoo of the Tawhoa Herbalist","塔赫亚草药师的文身"
"Tattoo of the Tawhoa Makanga","塔赫亚马坎加的文身"
"Tattoo of the Tawhoa Naturalist","塔赫亚自然术士的文身"
"Tattoo of the Tawhoa Scout","塔赫亚斥候的文身"
"Tattoo of the Tawhoa Shaman","塔赫亚萨满的文身"
"Tattoo of the Tawhoa Warrior","塔赫亚战士的文身"
"Tattoo of the Tukohama Brawler","图克哈玛斗士的文身"
"Tattoo of the Tukohama Makanga","图克哈玛马坎加的文身"
"Tattoo of the Tukohama Shaman","图克哈玛萨满的文身"
"Tattoo of the Tukohama Warcaller","图克哈玛战争司号的文身"
"Tattoo of the Tukohama Warmonger","图克哈玛好战者的文身"
"Tattoo of the Tukohama Warrior","图克哈玛战士的文身"
"Tattoo of the Valako Makanga","瓦拉克马坎加的文身"
"Tattoo of the Valako Scout","瓦拉克斥候的文身"
"Tattoo of the Valako Shaman","瓦拉克萨满的文身"
"Tattoo of the Valako Shieldbearer","瓦拉克盾卫的文身"
"Tattoo of the Valako Stormrider","瓦拉克驭雷者的文身"
"Tattoo of the Valako Warrior","瓦拉克战士的文身"
"2% increased Recovery Rate of Life, Mana and Energy Shield","生命、魔力和能量护盾的回复率提高 2%"
"Limited to 1 Ancestral Tattoo","先祖文身上限为 1"
"Limited to 1 Attribute Notable Tattoo","属性核心天赋文身上限为 1"
"You gain Onslaught for 4 seconds on Hit","击中时获得持续 4 秒的猛攻"
"1% increased effect of Non-Curse Auras from your Skills","你的技能的非诅咒光环效果提高 1%"
"Gain Arcane Surge on Hit with Spells","法术击中时获得秘术增强"
"1% increased Reservation Efficiency of Skills","技能的保留效能提高 1%"
"+1 to Level of all Dexterity Skill Gems","所有敏捷技能石等级 +1"
"Requires at least 8 adjacent Passive Skills to be allocated","需要至少配置 8 个相邻的天赋技能"
"2% increased maximum Life","最大生命提高 2%"
"3% increased Rarity of Items found","物品稀有度提高 3%"
"+4 to all Attributes","所有属性 +4"
"3% increased Defences","防御提高 3%"
"+1 to Level of all Strength Skill Gems","所有力量技能石等级 +1"
"+1 to Level of all Intelligence Skill Gems","所有智慧技能石等级 +1"
"+25 to maximum Life per Allocated Journey Tattoo of the Body","每配置一个身躯的旅途文身，最大生命 +25"
"+30 to maximum Mana per Allocated Journey Tattoo of the Mind","每配置一个意志的旅途文身，最大魔力 +30"
"+40 to maximum Energy Shield per Allocated Journey Tattoo of the Soul","每配置一个灵魂的旅途文身，最大能量护盾 +40"
"Trigger level 1 Summon Spirit of Ahuana Skill when you Suppress","当你压制来自传奇敌人的法术伤害时，触发 1 级召唤阿呼阿纳之魂"
"Spell Damage from a Unique Enemy","来自传奇敌人的法术伤害"
"Limited to 1 Loyalty Tattoo","忠诚文身上限为 1"
"Trigger level 1 Summon Spirit of Akoya Skill when you reach Maximum Rage while","当传奇敌人在你存在范围内且你达到最大怒火时，触发 1 级召唤阿阔亚之魂"
"a Unique Enemy is in your Presence","传奇敌人在你存在范围内"
"Trigger level 1 Summon Spirit of Ikiaho Skill when you use a Travel","当传奇敌人在你存在范围内且你使用位移技能时，触发 1 级召唤伊基亚霍之魂"
"Skill while a Unique Enemy is in your Presence","技能，且传奇敌人在你存在范围内"
"Trigger level 1 Summon Spirit of Kahuturoa Skill when you take","当你受到来自传奇敌人的暴击时，触发 1 级召唤卡胡图罗阿之魂"
"a Critical Strike from a Unique Enemy","来自传奇敌人的一次暴击"
"Trigger level 1 Summon Spirit of Kaom Skill when a Totem dies while","当传奇敌人在你存在范围内且一个图腾死亡时，触发 1 级召唤冈姆之魂"
"Trigger level 1 Summon Spirit of Kiloava Skill when you Block Damage from a Unique Enemy","当你格挡来自传奇敌人的伤害时，触发 1 级召唤基洛阿瓦之魂"
"Trigger level 1 Summon Spirit of Maata Skill when you reach Low Life while","当传奇敌人在你存在范围内且你进入低血状态时，触发 1 级召唤玛塔之魂"
"Trigger level 1 Summon Spirit of Rakiata Skill on Critical Strike against Marked Unique Enemy","对被标记的传奇敌人造成暴击时，触发 1 级召唤拉其塔之魂"
"Trigger level 1 Summon Spirit of Tawhanuku Skill when Energy Shield Recharge starts while a Unique Enemy is in your Presence","当传奇敌人在你存在范围内且能量护盾开始充能时，触发 1 级召唤塔瓦努库之魂"
"Trigger level 1 Summon Spirit of Utula Skill on taking a Savage Hit from a Unique Enemy","受到来自传奇敌人的残暴打击时，触发 1 级召唤乌图拉之魂"
"Requires that no more than 1 adjacent Passive Skills to be allocated","需要配置的相邻天赋技能不超过 1 个"
"+6% to Cold Resistance","冰霜抗性 +6%"
"10% chance to Avoid being Chilled","有 10% 的几率避免被冰缓"
"10% chance to Avoid being Frozen","有 10% 的几率避免被冻结"
"5% increased Effect of Herald Buffs on you","你身上的捷增益效果提高 5%"
"5% increased Cold Damage","冰霜伤害提高 5%"
"Requires at least 7 adjacent Passive Skills to be allocated","需要至少配置 7 个相邻的天赋技能"
"8% increased Mana Regeneration Rate","魔力再生率提高 8%"
"+3% to Chaos Resistance","混沌抗性 +3%"
"Killing Blows have 4% chance to Consume corpses to recover 10% of Maximum Life","击败敌人的攻击有 4% 的几率吞噬尸体并回复 10% 最大生命"
"Attacks have 5% chance to cause Bleeding","攻击有 5% 的几率造成流血"
"5% increased Physical Damage","物理伤害提高 5%"
"+6% to Fire Resistance","火焰抗性 +6%"
"10% reduced Ignite Duration on you","你受到的点燃持续时间缩短 10%"
"5% increased Fire Damage","火焰伤害提高 5%"
"5% increased Totem Life","图腾生命提高 5%"
"5% increased Accuracy Rating","命中值提高 5%"
"6% increased Evasion Rating","闪避值提高 6%"
"+2% chance to Suppress Spell Damage","法术伤害压制率 +2%"
"10% increased Stun Threshold","晕眩门槛提高 10%"
"Guard Skills have 6% increased Duration","防卫技能的持续时间延长 6%"
"You take 5% reduced Extra Damage from Critical Strikes","你受到的暴击额外伤害降低 5%"
"Attacks have 5% chance to Maim on Hit","攻击击中时有 5% 的几率造成瘫痪"
"4% increased Effect of your Marks","你的印记效果提高 4%"
"5% chance to Hinder Enemies on Hit with Spells","法术击中时有 5% 的几率阻碍敌人"
"4% increased Flask Effect Duration","药剂效果持续时间延长 4%"
"8% increased Life Recovery from Flasks","药剂的生命回复提高 8%"
"5% chance to Poison on Hit","击中时有 5% 的几率使敌人中毒"
"5% increased Chaos Damage","混沌伤害提高 5%"
"8% increased Warcry Cooldown Recovery Rate","战吼冷却回复率提高 8%"
"5% increased Melee Damage","近战伤害提高 5%"
"Melee Hits which Stun have 5% chance to Fortify","造成晕眩的近战击中有 5% 的几率获得护体"
"10% reduced Effect of Shock on you","你受到的感电效果降低 10%"
"+1% Chance to Block Attack Damage","攻击伤害格挡率 +1%"
"+6% to Lightning Resistance","闪电抗性 +6%"
"5% increased Lightning Damage","闪电伤害提高 5%"
